,f1,P@5,P@10,MAP,R_precision
1,0.1360946747200238,0.6,0.3,0.21684761255707838,0.29411764705882354
2,0.019292604692807146,0.4,0.2,0.3010204081632653,0.2857142857142857
3,0.13832853041594065,0.2,0.4,0.1652444345992466,0.3023255813953488
4,0.06106870247680788,0.0,0.2,0.11423605951538798,0.1111111111111111
5,0.2975206612647664,0.8,0.8,0.21787563034127302,0.33587786259541985
6,0.09756097578262937,0.6,0.5,0.20145412407167504,0.2916666666666667
7,0.09036144595224273,0.6,0.6,0.21403310610077803,0.25
8,0.024539877475441306,0.2,0.1,0.03153731514387252,0.09090909090909091
9,0.05095541420040569,0.0,0.2,0.14116071786192222,0.2
10,0.10334346521750723,0.6,0.5,0.3218312552852225,0.4
11,0.11042944802758853,1.0,0.8,0.5644991033657346,0.5
12,0.025723472860009713,0.0,0.0,0.0224633585289323,0.0
13,0.11585365870945864,0.0,0.1,0.12611829020639162,0.20833333333333334
14,0.200557103212174,0.2,0.4,0.1723536789664755,0.23636363636363636
15,0.2820512821525166,1.0,0.9,0.19531261020469456,0.28846153846153844
16,0.3016528926685472,0.4,0.5,0.15179948702105817,0.29444444444444445
17,0.16713091936816288,0.6,0.3,0.12675218602772187,0.18181818181818182
18,0.09846153863736234,1.0,0.6,0.500334530804513,0.47619047619047616
19,0.09815950937728178,0.0,0.0,0.0698569669427038,0.0
20,0.21142857158290937,1.0,1.0,0.5777977447569007,0.5434782608695652
21,0.09726443786188413,0.8,0.5,0.27543267104443264,0.24
22,0.2597402598557786,1.0,0.6,0.21721766599902442,0.2857142857142857
23,0.10029498541370332,0.0,0.0,0.03239316205107551,0.02857142857142857
24,0.11343283598730584,0.2,0.1,0.08918191685015996,0.12903225806451613
25,0.2028169015592414,0.6,0.6,0.24507538740052484,0.3137254901960784
26,0.18681318695380994,0.8,0.5,0.2371800448020564,0.2727272727272727
27,0.03809523828175763,0.4,0.2,0.19931607151181013,0.18181818181818182
28,0.24000000011024003,0.4,0.4,0.11956064919667478,0.2549019607843137
29,0.18433179737036248,0.2,0.2,0.11135576388743368,0.18181818181818182
30,0.08099688491514058,0.6,0.4,0.2963362779418709,0.29411764705882354
31,0.17679558025667713,1.0,0.8,0.26320341191199115,0.3103448275862069
32,0.06586826364035282,0.4,0.3,0.11660696274953722,0.16666666666666666
33,0.24930747937119116,0.6,0.8,0.38698967492957886,0.42105263157894735
34,0.15743440249205176,1.0,0.5,0.29458150498781616,0.3076923076923077
35,0.06289308194417151,0.6,0.4,0.24943717915008987,0.35714285714285715
36,0.044728434693621456,0.4,0.3,0.18508523594807297,0.3333333333333333
37,0.3532338309720304,0.8,0.9,0.47804642602934644,0.5102040816326531
38,0.27826086966582986,0.8,0.5,0.17578940567801155,0.3018867924528302
39,0.40343347650413536,0.6,0.5,0.2779343191422291,0.47530864197530864
40,0.28000000011232795,0.6,0.5,0.1238858735719543,0.23972602739726026
41,0.0564263324704769,0.2,0.4,0.199454868317882,0.4
42,0.10256410271771332,1.0,0.9,0.22562192001953596,0.23404255319148937
43,0.3134328359471548,1.0,0.8,0.3536382469542363,0.4387755102040816
44,0.4594594595731028,0.2,0.4,0.37205445647301655,0.5142857142857142
45,0.07407407425090687,0.8,0.5,0.32659474916955905,0.4
46,0.08074534179379654,0.6,0.5,0.2966400679895565,0.3333333333333333
47,0.15384615399108803,0.2,0.2,0.08894760822151779,0.21666666666666667
48,0.1317365271134067,0.2,0.2,0.13331649660791994,0.2
49,0.14117647075036677,1.0,0.8,0.400782714190429,0.3611111111111111
50,0.09118541050626104,0.8,0.5,0.26749900728882453,0.28
51,0.41834862395454725,1.0,0.6,0.2513358364568687,0.4107883817427386
52,0.006535947909821009,0.2,0.1,0.5,0.5
53,0.12844036714632137,0.6,0.5,0.34812708696557987,0.30434782608695654
54,0.2513661203622981,0.8,0.7,0.3567307060946457,0.3548387096774194
55,0.054878048953361104,0.0,0.1,0.04470421396932572,0.125
56,0.08928571445124717,0.4,0.3,0.11587885572987335,0.21875
57,0.2591549297282555,0.8,0.8,0.5052826313301065,0.47058823529411764
58,0.3308270677966106,0.6,0.4,0.331469536741834,0.4421052631578947
59,0.2093541203798007,0.8,0.8,0.11702728355743275,0.20689655172413793
60,0.11242603566676937,0.2,0.1,0.056105760125435264,0.058823529411764705
61,0.22994652420331724,1.0,1.0,0.3406789767436087,0.37142857142857144
62,0.30803571439846944,0.4,0.4,0.15504329094068123,0.2847222222222222
63,0.08746355701100222,0.2,0.3,0.08892995590112059,0.1794871794871795
64,0.15254237303283857,0.0,0.3,0.09856924922695712,0.2
65,0.2713567840474382,0.6,0.5,0.22096523670691545,0.3829787234042553
66,0.20708446880797246,0.2,0.4,0.13447525699899046,0.23809523809523808
67,0.06918239012027214,0.2,0.4,0.22300057394474107,0.42857142857142855
68,0.0916905445676817,0.8,0.6,0.15197757792052685,0.17777777777777778
69,0.06269592494696594,0.8,0.5,0.3590701501934224,0.4
70,0.09345794410517175,0.6,0.5,0.37519006633816315,0.47058823529411764
71,0.02580645180531113,0.4,0.3,0.41353383458646614,0.3333333333333333
72,0.06940063109909543,0.8,0.6,0.4205953996087535,0.46153846153846156
73,0.08074534179379654,0.8,0.5,0.3860449928905501,0.3888888888888889
74,0.025723472860009713,0.4,0.2,0.3213403880070547,0.2857142857142857
75,0.11076923094505466,0.6,0.6,0.34331836473354677,0.42857142857142855
76,0.03738317775003154,0.8,0.4,0.27547746371275783,0.35294117647058826
77,0.14507772034033128,0.2,0.1,0.058674874499342035,0.14634146341463414
78,0.2887139108966527,0.6,0.4,0.27469266011356896,0.37662337662337664
79,0.1902017292632029,0.2,0.4,0.18374204521179716,0.20930232558139536
80,0.13017751495671018,0.8,0.6,0.25872906069785023,0.3235294117647059
81,0.09036144595224273,1.0,0.5,0.23488602784538168,0.21428571428571427
82,0.2021857924934456,1.0,0.8,0.2557091643434058,0.27419354838709675
83,0.1190476192131519,0.4,0.3,0.20002688011263797,0.28125
84,0.08750000018099999,0.8,0.7,0.5452808777370998,0.5625
85,0.10149253747984317,0.4,0.3,0.1089913647152783,0.1935483870967742
86,0.20512820528181586,0.6,0.5,0.27612800515590075,0.3404255319148936
87,0.11111111127160493,0.2,0.2,0.0760566886150194,0.13157894736842105
88,0.05031446559197025,0.2,0.2,0.13334551243179457,0.21428571428571427
89,0.08722741451015616,0.8,0.6,0.4508650170409496,0.4117647058823529
90,0.15060240980766437,1.0,1.0,0.6079985305440813,0.5
91,0.2993421053631579,0.6,0.5,0.11394421932320804,0.2993421052631579
92,0.2647754138307116,0.8,0.8,0.2529764392582706,0.3445378151260504
94,0.35937500011076656,0.8,0.6,0.27345584426349445,0.32558139534883723
95,0.025559105620139022,0.6,0.3,0.30758498224251646,0.3333333333333333
96,0.05063291157779202,0.6,0.4,0.28736111111111107,0.3333333333333333
97,0.05714285732937668,0.6,0.4,0.4002461590696884,0.36363636363636365
98,0.03761755504100982,0.6,0.3,0.20629786801514494,0.2
99,0.019417475921787577,0.6,0.3,0.6,0.6
100,0.03174603193255127,0.6,0.3,0.2927568366592757,0.2727272727272727
